1,2,3,4
682.4,521.9,1147010883,2
862.3,341.5,1147010929,2
779.1,223.5,1147010970,2
810.7,198.3,1147010984,2
940.2,123.8,1147011015,2
931.2,217.3,1147011029,2
938.9,221.2,1147011076,2
962.8,141.3,1147011105,2
1024.4,-80.9,1147011120,2
1000.8,-51.2,1147011168,2
914.5,290.2,1147011203,2
1174.6,158.0,1147011271,2
1265.1,130.6,1147011307,2
965.7,409.4,1147011401,2
871.2, 11.0,1147011419,2
871.2, 11.0,1147011429,2
1050.9, 28.6,1147011437,2
923.6, 16.1,1147011464,2
1017.6,201.9,1147011479,2
1083.3,-43.3,1147011539,2
1236.7,-199.1,1147011555,2
1138.1,-12.9,1147011600,2
1089.4, 78.1,1147011613,2
1073.9, 93.9,1147011645,2
1003.7,153.4,1147011675,2
960.4,194.6,1147011704,2
949.2,266.4,1147011719,2
999.3,311.7,1147011765,2
1010.9,329.8,1147011805,2
970.3,398.2,1147011853,2
964.1,424.0,1147011872,2
1034.0,540.5,1147011893,2
1025.3,522.9,1147011908,2
1022.1,512.8,1147011948,2
969.9,510.6,1147011992,2
964.0,530.9,1147012006,2
988.9,523.5,1147012034,2
984.1,539.0,1147012082,2
988.4,496.9,1147012108,2
1028.6,486.9,1147012145,2
1024.9,473.3,1147012178,2
1061.4,469.8,1147012222,2
1061.8,470.0,1147012235,2
793.0,271.8,1147012283,2
799.8,199.9,1147012304,2
786.2,177.2,1147012321,2
693.9,166.4,1147012351,2
657.4,169.5,1147012367,2
685.2,238.2,1147012395,2
781.9,290.6,1147012442,2
807.4,305.2,1147012456,2
1122.3,454.3,1147012485,2
521.2,102.6,1147012501,2
479.6, 87.9,1147012530,2
403.8,-51.8,1147012545,2
406.1, -6.2,1147012593,2
126.0,-195.4,1147012646,2
173.1,-174.4,1147012661,2
